dataset,size,FT,budget,accuracy
MIRAGE,1,0,128,37.1
MIRAGE,4,0,128,45.5
MIRAGE,4,1,128,48
MIRAGE,27,0,128,62.1
MIRAGE,27,1,128,58.1
MIRAGE,1,0,256,37.9
MIRAGE,4,0,256,48.7
MIRAGE,4,1,256,49.7
MIRAGE,27,0,256,63.8
MIRAGE,27,1,256,65.1
MIRAGE,1,0,512,41.4
MIRAGE,4,0,512,51.7
MIRAGE,4,1,512,50.1
MIRAGE,27,0,512,64.2
MIRAGE,27,1,512,75.1
MIRAGE,1,0,768,44.6
MIRAGE,4,0,768,49.3
MIRAGE,4,1,768,50.1
MIRAGE,27,0,768,65.4
MIRAGE,27,1,768,77.3
MIRAGE,1,0,1024,46.2
MIRAGE,4,0,1024,49.1
MIRAGE,4,1,1024,50.6
MIRAGE,27,0,1024,66.8
MIRAGE,27,1,1024,80.1
PubMedQA (no context),1,0,128,31.1
PubMedQA (no context),4,0,128,25.4
PubMedQA (no context),4,1,128,32.7
PubMedQA (no context),27,0,128,24.2
PubMedQA (no context),27,1,128,42.6
PubMedQA (no context),1,0,256,30.5
PubMedQA (no context),4,0,256,27.8
PubMedQA (no context),4,1,256,31.8
PubMedQA (no context),27,0,256,28.1
PubMedQA (no context),27,1,256,43.2
PubMedQA (no context),1,0,512,33.2
PubMedQA (no context),4,0,512,32.1
PubMedQA (no context),4,1,512,40.1
PubMedQA (no context),27,0,512,33.2
PubMedQA (no context),27,1,512,45.2
PubMedQA (no context),1,0,768,41.6
PubMedQA (no context),4,0,768,39.2
PubMedQA (no context),4,1,768,37.9
PubMedQA (no context),27,0,768,38.1
PubMedQA (no context),27,1,768,47.8
PubMedQA (no context),1,0,1024,40.1
PubMedQA (no context),4,0,1024,40.1
PubMedQA (no context),4,1,1024,39.1
PubMedQA (no context),27,0,1024,42.1
PubMedQA (no context),27,1,1024,50
PubMedQA (with context),1,0,128,67.3
PubMedQA (with context),4,0,128,76
PubMedQA (with context),4,1,128,75.2
PubMedQA (with context),27,0,128,72.1
PubMedQA (with context),27,1,128,76.1
PubMedQA (with context),1,0,256,60.7
PubMedQA (with context),4,0,256,74.3
PubMedQA (with context),4,1,256,76.5
PubMedQA (with context),27,0,256,72.2
PubMedQA (with context),27,1,256,74.4
PubMedQA (with context),1,0,512,57.6
PubMedQA (with context),4,0,512,66.7
PubMedQA (with context),4,1,512,71.3
PubMedQA (with context),27,0,512,71.1
PubMedQA (with context),27,1,512,73
PubMedQA (with context),1,0,768,60
PubMedQA (with context),4,0,768,65.1
PubMedQA (with context),4,1,768,64.5
PubMedQA (with context),27,0,768,68.9
PubMedQA (with context),27,1,768,71.6
PubMedQA (with context),1,0,1024,59
PubMedQA (with context),4,0,1024,65.3
PubMedQA (with context),4,1,1024,63.8
PubMedQA (with context),27,0,1024,61.3
PubMedQA (with context),27,1,1024,70.1
Medical exam,1,0,128,32.1
Medical exam,4,0,128,41.4
Medical exam,4,1,128,37.7
Medical exam,27,0,128,51.6
Medical exam,27,1,128,51
Medical exam,1,0,256,30.1
Medical exam,4,0,256,43.5
Medical exam,4,1,256,40.8
Medical exam,27,0,256,53.6
Medical exam,27,1,256,51.1
Medical exam,1,0,512,36.9
Medical exam,4,0,512,52.5
Medical exam,4,1,512,42.1
Medical exam,27,0,512,53.9
Medical exam,27,1,512,56.9
Medical exam,1,0,768,38.9
Medical exam,4,0,768,49
Medical exam,4,1,768,40.8
Medical exam,27,0,768,53
Medical exam,27,1,768,58.6
Medical exam,1,0,1024,39.5
Medical exam,4,0,1024,50.2
Medical exam,4,1,1024,43.2
Medical exam,27,0,1024,51
Medical exam,27,1,1024,60.3
