question_id,is_correct,unique_answer_count
0,False,3
1,True,2
2,True,3
3,True,2
4,True,3
5,False,3
6,True,3
7,True,3
8,False,3
9,True,2
10,True,2
11,False,3
12,True,3
13,True,3
14,True,2
15,False,3
16,True,2
17,False,2
18,False,3
19,False,3
20,False,3
21,True,1
22,True,1
23,False,2
24,True,2
25,False,3
26,True,3
27,False,3
28,False,4
29,False,2
30,True,3
31,True,1
32,True,3
33,True,1
34,False,2
35,True,2
36,True,3
37,True,2
38,True,1
39,False,3
40,True,2
41,True,2
42,False,3
43,True,2
44,False,3
45,True,3
46,True,3
47,True,2
48,True,2
49,True,2
50,True,2
51,False,2
52,True,2
53,False,2
54,True,3
55,False,3
56,True,1
57,False,3
58,True,2
59,True,3
60,True,3
61,False,3
62,False,2
63,True,4
64,True,4
65,False,2
66,True,2
67,False,4
68,False,3
69,True,2
70,True,1
71,True,3
72,True,2
73,True,1
74,True,1
75,False,2
76,True,2
77,False,3
78,False,2
79,True,2
80,False,4
81,True,2
82,True,2
83,True,3
84,True,2
85,True,2
86,True,3
87,True,1
88,False,3
89,False,4
90,False,4
91,False,3
92,False,3
93,True,3
94,True,3
95,True,1
96,False,3
97,False,3
98,False,3
99,False,3
100,True,2
101,True,2
102,True,3
103,False,3
104,False,3
105,True,3
106,True,3
107,False,4
108,False,3
109,True,2
110,True,3
111,False,3
112,True,3
113,True,1
114,False,4
115,True,2
116,False,3
117,True,2
118,True,2
119,True,1
120,False,3
121,True,3
122,False,3
123,True,3
124,True,4
125,True,3
126,True,2
127,True,4
128,False,3
129,True,3
130,False,2
131,True,3
132,True,4
133,True,3
134,False,3
135,False,3
136,True,2
137,False,3
138,True,3
139,False,2
140,True,1
141,False,2
142,False,3
143,True,3
144,False,3
145,False,3
146,True,3
147,True,3
148,True,2
149,True,3
150,False,2
151,False,4
152,True,2
153,False,2
154,True,3
155,False,4
156,True,3
157,True,2
158,True,2
159,True,1
160,True,3
161,True,2
162,False,4
163,True,2
164,True,3
165,True,2
166,False,3
167,False,3
168,False,3
169,True,3
170,True,2
171,False,4
172,False,3
173,False,3
174,True,3
175,True,3
176,True,3
177,False,3
178,True,2
179,True,3
180,False,3
181,True,4
182,True,3
183,True,3
184,True,3
185,False,3
186,True,2
187,False,3
188,True,2
189,True,3
190,False,3
191,True,3
192,True,3
193,True,3
194,False,2
195,True,3
196,True,2
197,True,2
198,True,1
199,True,2
200,True,2
201,False,3
202,True,3
203,True,3
204,False,2
205,True,2
206,False,3
207,True,2
208,False,3
209,True,4
210,True,1
211,False,2
212,False,3
213,False,2
214,True,2
